iter	RMSE
349	31.50554365
350	31.50522457
351	31.50496383
352	31.50453822
353	31.50351114
354	31.50308413
355	31.50249107
356	31.50142927
357	31.50106288
358	31.50067261
359	31.50035311
360	31.49971267
361	31.49958868
362	31.49896429
363	31.49857725
364	31.49765357
365	31.49741353
366	31.49695957
367	31.49618404
368	31.49585124
369	31.4950761
370	31.49473174
